AUC,traits,tax
0.6013888888888889,Lactose,Bacillota
0.7714932126696832,Lactose,Bacteroidota
0.6932692307692307,Lactose,Actinomycetota
0.4618768328445748,Salicin,Bacillota
0.7437275985663081,Salicin,Bacteroidota
0.6172839506172839,Salicin,Actinomycetota
0.6986111111111111,Glycerol,Bacillota
0.666015625,Glycerol,Bacteroidota
0.6,Glycerol,Actinomycetota
0.5402777777777777,Melibiose,Bacillota
0.7291666666666666,Melibiose,Bacteroidota
0.7760869565217391,Melibiose,Actinomycetota
0.6113793103448276,Maltose,Bacillota
0.6384479717813052,Maltose,Bacteroidota
0.6651542649727767,Maltose,Actinomycetota
0.5903739612188366,Sucrose,Bacillota
0.5944816053511706,Sucrose,Bacteroidota
0.5515297906602254,Sucrose,Actinomycetota
0.5583881578947368,Trehalose,Bacillota
0.5583333333333333,Trehalose,Bacteroidota
0.46274038461538464,Trehalose,Actinomycetota
